,Brand,Model,Ram,Rom,Screen_size,Operating System,Processor,Warranty,Price
296,Lenovo,100e,4,,11.6,Chrome,32,1,"8,200 "
297,Lenovo,100e,4,,11.6,Chrome,64,1,"9,500 "
298,Thomson,NEO,16,512,15.6,Windows 11,512,,"22,000 "
299,DELL,3,16,512,15.6,64 bit Windows 11 Home,512,3,
300,HP,MSO,16,512,15.6,Windows 11 Home,512,1,"22,000 "
301,ASUS,Vivobook,8,512,15.6,Windows 11 Home,512,1,"26,000 "
302,Apple,MacBook,16,512,13.6,Mac OS,512,1,"22,000 "
303,Acer,Aspire,16,512,15.6,64 bit Windows 11 Home,512,3,
304,ASUS,TUF,16,512,15.6,Windows 11 Home,512,1,"22,000 "
305,Acer,Predator,16,512,16,Windows 11,512,1,"22,000 "
306,Acer,Nitro,16,512,15.6,64 bit Windows 11 Home,512,1,"25,000 "
307,Lenovo,Chromebook,4,,14,Chrome,128,1,"11,000 "
308,ASUS,Vivobook,8,512,15.6,Windows 11 Home,512,1,"26,000 "
309,ASUS,Vivobook,8,512,15.6,Windows 11 Home,512,1,
310,HP,Intel,8,512,15.6,Windows 11 Home,512,1,"22,000 "
311,ASUS,Chromebook,4,,15.6,Chrome,64,1,"11,000 "
312,DELL,Intel,8,512,15,Windows 11,512,1,"22,000 "
313,Acer,Predator,16,,16,Windows 11,6,1,"22,000 "
314,Acer,Aspire,16,512,15.6,64 bit Windows 11 Home,512,1,"24,000 "
315,Lenovo,V,8,512,14,64 bit Windows 11,512,1,
316,Samsung,Galaxy,16,512,15.6,64 bit Windows 11,512,1,"22,000 "
317,Acer,Chromebook,8,,15.6,Chrome,128,1,"11,000 "
318,HP,255,8,256,15.6,64 bit Windows 11,256,1,
319,ASUS,TUF,16,512,15.6,Windows 11 Home,512,1,"22,000 "
320,Lenovo,100e,4,,11.6,Chrome,32,1,"8,200 "
321,Lenovo,100e,4,,11.6,Chrome,64,1,"9,500 "
322,Acer,Aspire,16,512,14,64 bit Windows 11 Home,512,1,"22,000 "
323,Lenovo,IdeaPad,16,512,14,Windows 11 Home,512,1,
324,DELL,14,16,512,14,64 bit Windows 11,,1,
325,ASUS,TUF,16,512,16,Windows 11 Home,,1,
326,HP,MSO,16,512,15.6,Windows 11 Home,512,1,"22,000 "
327,ASUS,Vivobook,8,512,15.6,Windows 11 Home,512,1,"26,000 "
328,HP,255,8,256,15.6,64 bit Windows 11,256,1,
329,ASUS,Chromebook,4,,15.6,Chrome,64,1,"11,000 "
330,DELL,15,16,512,15.6,Windows 11 Home,512,,"22,000 "
331,Lenovo,IdeaPad,16,512,15.6,Windows 11 Home,512,1,"22,000 "
332,Lenovo,V15,8,512,15.6,64 bit Windows 11,512,,
333,HP,255,8,512,15.6,64 bit Windows 11,512,1,
334,Primebook,Wifi,4,,11.6,Android,64,1,"13,000 "
335,Ultimus,APEX,8,512,14.1,64 bit Windows 11 Home,512,1,"13,500 "
336,Samsung,Galaxy,16,512,15.6,64 bit Windows 11,512,1,"22,000 "
337,Acer,Chromebook,8,,15.6,Chrome,128,1,"11,000 "
338,ASUS,Chromebook,4,,15.6,Chrome,64,1,"11,000 "
339,Primebook,Wifi,4,,11.6,Android,64,1,"13,000 "
340,Lenovo,100e,4,,11.6,Chrome,32,1,"8,200 "
341,Lenovo,100e,4,,11.6,Chrome,64,1,"9,500 "
342,ASUS,Chromebook,8,,15.6,Chrome,128,1,"16,000 "
343,HP,250R,16,512,15.6,64 bit Windows 11,512,,
344,ASUS,X1504ZA,8,512,15.6,64 bit Windows 11,512,,
345,HP,Victus,16,512,15.6,Windows 11 Home,512,1,
346,HP,MSO,16,512,15.6,Windows 11 Home,512,1,"22,000 "
347,ASUS,Vivobook,8,512,15.6,Windows 11 Home,512,1,"26,000 "
348,Lenovo,IdeaPad,8,,15.6,Chrome,128,1,"20,000 "
349,HP,255,8,512,15.6,64 bit Windows 11,512,1,
350,Acer,Nitro,16,512,15.6,64 bit Windows 11 Home,512,1,"25,000 "
351,Lenovo,Chromebook,4,,14,Chrome,128,1,"11,000 "
352,ASUS,Vivobook,16,512,14,Windows 11 Home,,1,"26,000 "
353,DELL,Intel,16,,13.3,Windows 11 Home,8,,"22,000 "
354,ASUS,Zenbook,16,512,14,Windows 11 Home,,1,
355,ASUS,Expertbook,16,512,15.6,Windows 11 Home,512,1,
356,HP,Intel,8,512,15.6,Windows 11 Home,512,1,"22,000 "
357,ASUS,Chromebook,4,,15.6,Chrome,64,1,"11,000 "
